Material,Time lapse,First Derivative
38-1482-03,364.982227,-0.059998800023859204
38-1482-03,364.998893,-0.060002400096045745
38-1482-03,365.01556,0.05999880002405051
38-1482-03,365.032227,0.05999880002406383
38-1482-03,365.048893,0.060002400095841096
38-1482-03,365.06556,-0.11999760004811434
38-1482-03,365.082227,0.0
38-1482-03,365.098893,-0.12000480019210481
38-1482-03,365.11556,0.17999640007156428
38-1482-03,365.132227,0.05999880002405051
38-1482-03,365.148893,-0.12000480019210481
38-1482-03,365.16556,0.11999760004770509
38-1482-03,365.182227,-0.05999880002405051
38-1482-03,365.198893,-0.12000480019210481
38-1482-03,365.21556,0.11999760004811434
38-1482-03,365.232487,0.059077213918551294
38-1482-03,365.249154,-0.17999640007216486
38-1482-03,365.26582,0.12000480019169552
38-1482-03,365.282487,-0.11999760004811434
38-1482-03,365.299154,0.17999640007216486
38-1482-03,365.31582,-0.060002400096045745
38-1482-03,365.332487,0.05999880002384588
38-1482-03,365.349154,-0.17999640007216486
38-1482-03,365.36582,0.12000480019210481
38-1482-03,365.382487,0.11999760004770509
38-1482-03,365.399154,0.05999880002405051
38-1482-03,365.41582,-0.060002400096045745
38-1482-03,365.432487,-0.05999880002406383
38-1482-03,365.449154,0.0
38-1482-03,365.46582,0.06000240009605907
38-1482-03,365.482487,-0.05999880002406383
38-1482-03,365.499447,0.0
38-1482-03,365.516113,-0.060002400095841096
38-1482-03,365.53278,0.0
38-1482-03,365.549447,0.11999760004811434
38-1482-03,365.566113,-0.12000480019210481
38-1482-03,365.58278,0.11999760004770509
38-1482-03,365.599447,0.0
38-1482-03,365.616113,-0.06000240009605907
38-1482-03,365.63278,0.11999760004770509
38-1482-03,365.649447,0.0
38-1482-03,365.666113,-0.12000480019210481
38-1482-03,365.68278,0.0
38-1482-03,365.699447,0.0
38-1482-03,365.716113,0.06000240009605907
38-1482-03,365.73278,0.0
38-1482-03,365.749447,0.0
38-1482-03,365.766374,-0.2363088556742314
38-1482-03,365.78304,0.3000120004792321
38-1482-03,365.799707,0.05999880002406383
38-1482-03,365.816374,-0.11999760004811434
38-1482-03,365.83304,-0.12000480019210481
38-1482-03,365.849707,0.11999760004770509
38-1482-03,365.866374,0.0
38-1482-03,365.88304,0.12000480019210481
38-1482-03,365.899707,-0.11999760004811434
38-1482-03,365.916374,0.05999880002384588
38-1482-03,365.93304,-0.060002400096045745
38-1482-03,365.949707,0.17999640007216486
38-1482-03,365.966374,-0.11999760004811434
38-1482-03,365.98304,0.06000240009585442
38-1482-03,365.999707,0.0
38-1482-03,366.016374,-0.11999760004811434
38-1482-03,366.033333,0.11793148180877294
38-1482-03,366.05,0.0
